ID,cell_i
b24edf8e-bbc7-11e8-b2bc-ac1f6b6435d0,12
148_A9_1,4
1153_E9_2,35
610_F4_1,13
1717_G3_17,0
552_A7_2,2
ac809320-bbbf-11e8-b2bb-ac1f6b6435d0,1
1642_E10_25,18
1972_G1_23,20
01e8a3e4-bbbf-11e8-b2ba-ac1f6b6435d0,5
1752_C2_13,32
1319_E7_2,0
518_E12_2,5
11626950-bb9b-11e8-b2b9-ac1f6b6435d0,32
1681_A9_3,20
197ea78a-bbbd-11e8-b2ba-ac1f6b6435d0,4
5cc0ea64-bba2-11e8-b2b9-ac1f6b6435d0,21
35e5c2ea-bbaf-11e8-b2ba-ac1f6b6435d0,27
91365d06-bbca-11e8-b2bc-ac1f6b6435d0,0
214_D6_1,10
1789_A1_28,14
32afd736-bba1-11e8-b2b9-ac1f6b6435d0,29
5a6cb4cc-bbc6-11e8-b2bc-ac1f6b6435d0,6
0c37e6b6-bbb5-11e8-b2ba-ac1f6b6435d0,44
f667c53e-bbc0-11e8-b2bb-ac1f6b6435d0,49
ffcf84d6-bbac-11e8-b2ba-ac1f6b6435d0,17
5f0e0266-bba2-11e8-b2b9-ac1f6b6435d0,2
1740_B1_18,4
5b85e1fa-bbc4-11e8-b2bc-ac1f6b6435d0,1
f6e5d632-bba1-11e8-b2b9-ac1f6b6435d0,9
1788_F1_5,32
1789_D8_24,4
2889b144-bbc1-11e8-b2bb-ac1f6b6435d0,22
1336_B11_2,15
a9164a74-bbc2-11e8-b2bc-ac1f6b6435d0,17
19e9765e-bbc3-11e8-b2bc-ac1f6b6435d0,35
da207a62-bbbe-11e8-b2ba-ac1f6b6435d0,18
77aa841a-bb99-11e8-b2b9-ac1f6b6435d0,58
7c3e4696-bba4-11e8-b2b9-ac1f6b6435d0,48
248_F10_1,0
813_G12_4,2
862_C8_2,9
833_C8_2,0
d9f260dc-bbb9-11e8-b2ba-ac1f6b6435d0,9
a84a5eae-bbaf-11e8-b2ba-ac1f6b6435d0,21
112_H1_1,4
1040_F4_1,24
1d2bf776-bba3-11e8-b2b9-ac1f6b6435d0,18
2d8d9720-bbc4-11e8-b2bc-ac1f6b6435d0,8
4172b472-bba2-11e8-b2b9-ac1f6b6435d0,16
c50a5db0-bbb3-11e8-b2ba-ac1f6b6435d0,20
174_C11_1,5
f3dd8830-bbc5-11e8-b2bc-ac1f6b6435d0,18
1918_B12_1,32
1918_G5_25,13
5ba6d682-bbb3-11e8-b2ba-ac1f6b6435d0,8
25d01b70-bba6-11e8-b2ba-ac1f6b6435d0,13
1198_A12_1,4
d069d2ba-bba1-11e8-b2b9-ac1f6b6435d0,24
3de942ee-bbbb-11e8-b2ba-ac1f6b6435d0,26
1718_H7_19,4
1789_A1_28,7
1918_G11_14,134
0c1aaee0-bbc2-11e8-b2bb-ac1f6b6435d0,14
826e48c8-bbbc-11e8-b2ba-ac1f6b6435d0,4
efec5b3a-bbc4-11e8-b2bc-ac1f6b6435d0,0
1751_B6_13,2
0aa47ebc-bba2-11e8-b2b9-ac1f6b6435d0,2
1636_H1_13,19
1788_B11_5,0
340_F8_2,14
a865c80a-bbba-11e8-b2ba-ac1f6b6435d0,4
1942_H1_25,12
ce35516e-bbc8-11e8-b2bc-ac1f6b6435d0,13
e94861ee-bbb9-11e8-b2ba-ac1f6b6435d0,5
1492_B10_5,17
1788_D1_16,19
1918_B1_5,70
1745_C2_19,2
54c8403e-bb9b-11e8-b2b9-ac1f6b6435d0,24
142c9d96-bbae-11e8-b2ba-ac1f6b6435d0,5
20b8be88-bbad-11e8-b2ba-ac1f6b6435d0,13
1717_B3_29,29
1803_E9_2,18
1845_F6_18,17
7c3e4696-bba4-11e8-b2b9-ac1f6b6435d0,9
e339b250-bbb7-11e8-b2ba-ac1f6b6435d0,5
1310_A9_2,5
1650_E1_48,49
1668_H6_2,44
1898_B10_31,7
364_A10_4,4
467_G12_2,2
1717_B3_24,35
5ba6d682-bbb3-11e8-b2ba-ac1f6b6435d0,1
1198_A12_1,13
00716b36-bba6-11e8-b2ba-ac1f6b6435d0,38
319b85b4-bbb7-11e8-b2ba-ac1f6b6435d0,11
637fddbc-bbaa-11e8-b2ba-ac1f6b6435d0,6
f9c647e2-bbbf-11e8-b2bb-ac1f6b6435d0,1
ce4722ae-bbc3-11e8-b2bc-ac1f6b6435d0,0
845aabbc-bbc7-11e8-b2bc-ac1f6b6435d0,7
1169_H7_2,19
568_D8_1,3
299c4954-bbba-11e8-b2ba-ac1f6b6435d0,22
69a53f8a-bba4-11e8-b2b9-ac1f6b6435d0,9
b3a6e510-bbb9-11e8-b2ba-ac1f6b6435d0,4
77b5ae30-bbbc-11e8-b2ba-ac1f6b6435d0,12
9a6c3ce0-bbc7-11e8-b2bc-ac1f6b6435d0,5
b34ab50c-bbae-11e8-b2ba-ac1f6b6435d0,0
648a872a-bbb9-11e8-b2ba-ac1f6b6435d0,24
472_E8_2,2
793_E1_3,0
1492_B10_5,26
1918_B2_18,30
855b597e-bbc9-11e8-b2bc-ac1f6b6435d0,3
dc463138-bbaf-11e8-b2ba-ac1f6b6435d0,28
1702_F11_23,12
7c3e4696-bba4-11e8-b2b9-ac1f6b6435d0,2
e535f6e0-bbb7-11e8-b2ba-ac1f6b6435d0,10
ea973356-bb99-11e8-b2b9-ac1f6b6435d0,8
a84a5eae-bbaf-11e8-b2ba-ac1f6b6435d0,7
1650_E1_48,40
1645_A8_8,4
510d1968-bba2-11e8-b2b9-ac1f6b6435d0,10
e92ee03e-bbaf-11e8-b2ba-ac1f6b6435d0,45
1101_D5_1,14
2e2b9454-bbb8-11e8-b2ba-ac1f6b6435d0,23
80_F4_2,14
cd84a19a-bba8-11e8-b2ba-ac1f6b6435d0,20
1198_A12_1,10
1916_H6_32,11
5890b424-bbbb-11e8-b2ba-ac1f6b6435d0,9
7938a0f8-bbc8-11e8-b2bc-ac1f6b6435d0,38
e210338e-bba0-11e8-b2b9-ac1f6b6435d0,11
e549f598-bbab-11e8-b2ba-ac1f6b6435d0,10
1169_H7_2,20
1789_A1_28,21
218_D9_1,10
366_H5_2,14
288916a0-bba6-11e8-b2ba-ac1f6b6435d0,7
60152686-bba6-11e8-b2ba-ac1f6b6435d0,9
aaf459ce-bbb0-11e8-b2ba-ac1f6b6435d0,0
983_H3_3,11
1918_B1_5,39
9af9d994-bbb6-11e8-b2ba-ac1f6b6435d0,26
1102_F1_2,7
1636_H1_13,1
1788_B11_5,18
472_E6_1,2
b34ab50c-bbae-11e8-b2ba-ac1f6b6435d0,9
bc92e34c-bbbc-11e8-b2ba-ac1f6b6435d0,2
87ec6988-bba8-11e8-b2ba-ac1f6b6435d0,26
882_C4_2,11
c79f7cfe-bbc2-11e8-b2bc-ac1f6b6435d0,8
40_F7_1,3
497_E3_2,5
505_C10_1,16
5365041c-bbc2-11e8-b2bb-ac1f6b6435d0,21
218_G2_1,6
be417cae-bb9d-11e8-b2b9-ac1f6b6435d0,18
557_E4_1,8
1702_E2_13,4
413_F4_1,7
484_D3_2,10
ca2ac9ac-bbb7-11e8-b2ba-ac1f6b6435d0,12
898c9c58-bbae-11e8-b2ba-ac1f6b6435d0,22
a652c146-bbc2-11e8-b2bc-ac1f6b6435d0,10
e0c7ee08-bbba-11e8-b2ba-ac1f6b6435d0,12
1918_F8_3,15
1200_E11_4,3
55e0eb16-bbb3-11e8-b2ba-ac1f6b6435d0,14
b666a31e-bb9e-11e8-b2b9-ac1f6b6435d0,12
610_F4_2,3
b578c7cc-bb9c-11e8-b2b9-ac1f6b6435d0,7
9d693b20-bb9d-11e8-b2b9-ac1f6b6435d0,34
5ba6d682-bbb3-11e8-b2ba-ac1f6b6435d0,19
a8266b1a-bbc4-11e8-b2bc-ac1f6b6435d0,2
1623_B4_2,7
7938a0f8-bbc8-11e8-b2bc-ac1f6b6435d0,41
1788_E4_2,27
1789_F3_20,1
115c24a8-bbb6-11e8-b2ba-ac1f6b6435d0,5
d49693e2-bbb9-11e8-b2ba-ac1f6b6435d0,6
113_H2_2,5
c1bf7b92-bb9d-11e8-b2b9-ac1f6b6435d0,13
03d56a18-bbb8-11e8-b2ba-ac1f6b6435d0,34
dcf404a6-bb9c-11e8-b2b9-ac1f6b6435d0,11
1d7a9214-bbc6-11e8-b2bc-ac1f6b6435d0,36
1102_F1_2,0
b34958f4-bb9c-11e8-b2b9-ac1f6b6435d0,3
b2527290-bbca-11e8-b2bc-ac1f6b6435d0,10
32c159e4-bbc8-11e8-b2bc-ac1f6b6435d0,12
f026cf08-bb9d-11e8-b2b9-ac1f6b6435d0,8
2b7e0e6a-bbab-11e8-b2ba-ac1f6b6435d0,25
1869_D7_60,17
270_F9_2,0
4143098a-bbb0-11e8-b2ba-ac1f6b6435d0,29
419_A5_1,2
0a763540-bb9b-11e8-b2b9-ac1f6b6435d0,6
cc934144-bbb5-11e8-b2ba-ac1f6b6435d0,17
159_A9_1,1
279_C11_2,6
1625_F9_1,2
7d77db8e-bbbe-11e8-b2ba-ac1f6b6435d0,4
1650_E1_48,38
1371_G1_1,12
1898_B10_32,9
1898_B10_31,18
7cb7642a-bbba-11e8-b2ba-ac1f6b6435d0,24
e0c7ee08-bbba-11e8-b2ba-ac1f6b6435d0,5
832_B2_2,2
08512478-bba0-11e8-b2b9-ac1f6b6435d0,24
decea330-bba6-11e8-b2ba-ac1f6b6435d0,0
